,player,team,pass_attempts,batted_balls,throwaways,spikes,drops,drop_pct,bad_throws,bad_throw_pct,on_tgt_throws,on_tgt_pct,season,pfr_id,pocket_time,times_blitzed,times_hurried,times_hit,times_pressured,pressure_pct,rpo_plays,rpo_yards,rpo_pass_att,rpo_pass_yards,rpo_rush_att,rpo_rush_yards,pa_pass_att,pa_pass_yards
157,Marcus Mariota,LVR,28,0,1,1,1,3.8,6,23.1,19,73.1,2020,MariMa01,2.4,4,3,2,5,15.6,3,56,0,0,3,56,5,34
158,Ben DiNucci,DAL,43,0,1,1,2,4.9,13,31.7,26,63.4,2020,DiNuBe00,2.5,14,8,3,18,35.3,4,2,2,0,2,2,6,14
159,Tyrod Taylor,LAC,30,0,2,0,1,3.6,6,21.4,20,71.4,2020,TaylTy00,2.5,9,5,2,9,26.5,5,24,3,23,2,1,7,46
160,Matt Barkley,BUF,21,1,0,0,2,9.5,5,23.8,13,61.9,2020,BarkMa00,2.6,10,1,1,3,13.6,2,10,2,10,0,0,7,66
161,Ryan Finley,CIN,32,0,0,0,1,3.1,7,21.9,24,75.0,2020,FinlRy00,2.3,18,3,8,20,46.5,5,36,0,0,5,36,1,0
162,Blaine Gabbert,TB,16,0,0,0,1,6.3,5,31.3,11,68.8,2020,GabbBl00,1.6,8,1,0,2,10.5,0,0,0,0,0,0,2,30
163,Taylor Heinicke,WAS,19,0,0,0,1,5.3,4,21.1,13,68.4,2020,HeinTa00,3.0,3,1,1,3,13.0,0,0,0,0,0,0,0,0
164,Brian Hoyer,NE,24,0,1,0,1,4.3,4,17.4,19,82.6,2020,HoyeBr00,2.2,11,0,1,3,11.1,3,59,3,59,0,0,9,83
165,Chris Streveler,ARI,16,0,0,0,0,0.0,2,12.5,14,87.5,2020,StreCh00,1.8,4,0,1,3,16.7,3,24,3,24,0,0,5,37
166,Trace McSorley,BAL,10,1,1,0,1,11.1,3,33.3,4,44.4,2020,McSoTr00,2.3,2,2,0,2,18.2,5,2,2,0,3,2,2,0
167,Jameis Winston,NO,11,0,0,0,0,0.0,3,27.3,7,63.6,2020,WinsJa00,2.2,5,1,1,4,28.6,0,0,0,0,0,0,3,31
168,Jarvis Landry,CLE,4,0,0,0,0,0.0,0,0.0,4,100.0,2020,LandJa00,3.3,2,0,3,3,75.0,0,0,0,0,0,0,1,6
169,David Blough,DET,10,1,0,0,0,0.0,2,20.0,6,60.0,2020,BlouDa00,2.9,1,0,6,7,58.3,0,0,0,0,0,0,1,20
170,Case Keenum,CLE,10,0,0,0,0,0.0,3,30.0,5,50.0,2020,KeenCa00,2.2,2,0,2,2,20.0,0,0,0,0,0,0,1,13
171,Jamison Crowder,NYJ,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,CrowJa00,1.8,1,0,0,0,0.0,0,0,0,0,0,0,1,43
172,Jakobi Meyers,NE,2,0,0,0,0,0.0,0,0.0,2,100.0,2020,MeyeJa01,2.4,1,0,1,1,50.0,0,0,0,0,0,0,0,0
173,Robert Griffin III,BAL,14,0,0,0,0,0.0,4,28.6,8,57.1,2020,GrifRo01,2.1,7,0,3,6,35.3,4,48,0,0,4,48,4,8
174,Russell Gage,ATL,2,0,0,0,1,50.0,0,0.0,2,100.0,2020,GageRu00,2.6,2,0,1,1,50.0,0,0,0,0,0,0,0,0
175,Julian Edelman,NE,2,0,0,0,0,0.0,0,0.0,2,100.0,2020,EdelJu00,1.5,1,0,0,0,0.0,0,0,0,0,0,0,1,22
176,Geno Smith,SEA,5,0,0,0,0,0.0,1,20.0,4,80.0,2020,SmitGe00,2.1,4,0,1,2,33.3,3,12,1,14,2,-2,1,14
177,Lynn Bowden Jr.,MIA,2,0,0,0,0,0.0,1,50.0,1,50.0,2020,BowdLy00,5.1,2,0,1,1,25.0,1,8,0,0,1,8,1,32
178,Nate Sudfeld,PHI,12,0,2,0,1,10.0,3,30.0,6,60.0,2020,SudfNa00,2.3,7,2,3,7,46.7,1,0,1,0,0,0,2,0
179,Zay Jones,LVR,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,JoneZa00,3.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
180,Joseph Charlton,CAR,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,CharJo01,0.0,0,0,0,1,50.0,0,0,0,0,0,0,0,0
181,Logan Thomas,WAS,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,ThomLo00,4.5,0,0,0,0,0.0,0,0,0,0,0,0,1,28
182,Andy Lee,ARI,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,LeexAn20,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
183,Nathan Peterman,LVR,5,0,0,0,0,0.0,1,20.0,3,60.0,2020,PeteNa00,2.6,1,0,0,2,25.0,0,0,0,0,0,0,1,4
184,Cedrick Wilson Jr.,DAL,2,0,0,0,0,0.0,0,0.0,2,100.0,2020,WilsCe01,3.7,1,0,0,0,0.0,1,12,1,12,0,0,0,0
185,Cole Beasley,BUF,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,BeasCo00,3.0,0,0,0,0,0.0,1,20,1,20,0,0,0,0
186,A.J. McCarron,HOU,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,McCaA.00,0.0,1,0,0,1,50.0,0,0,0,0,0,0,0,0
187,Odell Beckham Jr.,CLE,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,BeckOd00,1.7,1,0,0,0,0.0,0,0,0,0,0,0,0,0
188,Tyler Bray,CHI,5,0,0,1,0,0.0,3,75.0,1,25.0,2020,BrayTy00,2.1,0,0,1,1,20.0,0,0,0,0,0,0,0,0
189,Golden Tate,NYG,2,0,1,0,0,0.0,0,0.0,1,100.0,2020,TateGo00,4.8,1,0,1,1,50.0,0,0,0,0,0,0,0,0
190,Jacoby Brissett,IND,8,0,1,0,1,14.3,3,42.9,4,57.1,2020,BrisJa00,2.8,3,3,0,5,45.5,4,8,0,0,3,8,2,4
191,Tyler Boyd,CIN,2,0,0,0,0,0.0,1,50.0,1,50.0,2020,BoydTy00,2.7,1,0,0,0,0.0,1,0,1,0,0,0,1,0
192,Tyler Huntley,BAL,5,0,0,0,0,0.0,2,40.0,3,60.0,2020,HuntTy01,2.1,2,0,1,1,20.0,6,23,1,-1,5,24,1,-1
193,Sam Koch,BAL,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,KochSa20,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
194,Greg Ward,PHI,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,WardGr02,5.2,1,0,1,1,50.0,0,0,0,0,0,0,0,0
195,Kendall Hinton,DEN,9,0,1,0,0,0.0,4,50.0,1,12.5,2020,HintKe00,2.9,5,1,4,6,54.5,4,5,3,0,1,5,4,0
196,Jaquan Johnson,BUF,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,JohnJa11,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
197,Tommy Townsend,KC,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,TownTo01,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
198,Isaiah McKenzie,BUF,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,McKeIs00,2.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0
199,Logan Woodside,TEN,3,0,0,0,0,0.0,1,33.3,0,0.0,2020,WoodLo00,1.4,0,1,0,1,33.3,0,0,0,0,0,0,0,0
200,Travis Kelce,KC,2,0,0,0,0,0.0,0,0.0,2,100.0,2020,KelcTr00,3.2,0,0,0,0,0.0,1,0,1,0,0,0,0,0
201,Easton Stick,LAC,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,SticEa00,2.3,1,0,0,0,0.0,0,0,0,0,0,0,1,4
202,Joshua Dobbs,PIT,5,0,1,0,0,0.0,0,0.0,4,100.0,2020,DobbJo00,1.5,0,0,1,1,20.0,0,0,0,0,0,0,0,0
203,Jamal Agnew,DET,1,0,0,0,0,0.0,0,0.0,1,100.0,2020,AgneJa00,4.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0
204,Keenan Allen,LAC,1,0,0,0,0,0.0,1,100.0,0,0.0,2020,AlleKe00,3.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0
205,Randall Cobb,HOU,1,0,0,0,0,0.0,1,100.0,0,0.0,2020,CobbRa00,3.1,1,0,0,0,0.0,1,0,1,0,0,0,1,0
206,Riley Dixon,NYG,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,DixoRi00,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
207,Alex Erickson,CIN,1,0,0,0,0,0.0,1,100.0,0,0.0,2020,EricAl01,4.6,1,0,1,1,100.0,0,0,0,0,0,0,0,0
208,Chris Jones,DAL,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,JoneCh02,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
209,Brett Kern,TEN,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,KernBr20,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
210,D.J. Moore,CAR,1,0,0,0,0,0.0,1,100.0,0,0.0,2020,MoorD.00,4.1,1,0,0,0,0.0,1,0,1,0,0,0,1,0
211,Zach Pascal,IND,1,0,0,0,0,0.0,1,100.0,0,0.0,2020,PascZa00,3.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
212,Sammy Watkins,KC,1,0,0,0,0,0.0,0,0.0,0,0.0,2020,WatkSa00,4.6,1,0,0,0,0.0,0,0,0,0,0,0,0,0
213,Isaiah Wright,WAS,1,0,1,0,0,0.0,0,0.0,0,0.0,2020,WrigIs01,6.4,0,0,1,1,100.0,1,6,0,0,1,6,0,0
