,player_id,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr,pacr,racr,target_share,air_yards_share,wopr_x,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
233,00-0033006,J.Mickens,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,10,58.0,0,0.0,0.0,73.0,31.0,6.0,4.593217877197018,0,0.0,5.800000000000001,12.8,0.0,0.0,0.0,0.0,0.0,2,0.12345679012345678,0.09772423025435073,0.15979381443298968,0.26336456938866576,0.10902255639097744,0.0,0.20689655172413793,0.1875,0.05451127819548872,0.08721804511278196,0.7160493827160493,0.07434080613311651
234,00-0033009,T.Boyd,2020,REG,1,2,16.0,0,0.0,0.0,0.0,0,0,2.0,22.0,1.0,0.7359128136886284,0,0.0,5,49.0,0,0.0,0.0,2.0,2.128042613447178,0,79,110,841.0,4,1.0,0.0,940.0,350.0,43.0,37.62876975254036,0,0.0,113.64,192.64000000000001,0.0,0.0,0.0,0.0,0.0,15,0.20257826887661143,0.21353930031803725,0.21861336664584635,0.47469884356934694,0.2457627118644068,0.23529411764705882,0.23497267759562843,0.235,0.2405284147557328,0.2436689930209372,1.5488029465930018,0.1649343310673128
235,00-0033025,J.Richard,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,22,123.0,1,1.0,0.0,7.0,5.551221328903921,0,19,23,138.0,0,0.0,0.0,49.0,97.0,5.0,-8.925862766698872,0,0.0,32.1,51.1,0.0,0.0,0.0,0.0,0.0,12,0.05502392344497608,0.014394829612220916,0.06166560712015257,0.09405174885724085,0.041280287167215074,0.0,0.03184713375796178,0.027777777777777776,0.020640143583607537,0.03302422973377206,0.33014354066985646,0.043496024922966926
236,00-0033040,T.Hill,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,13,123.0,2,0.0,0.0,5.0,7.3809569191071205,0,87,135,1276.0,15,0.0,0.0,1739.0,434.0,57.0,75.19457848195256,0,0.0,241.9,328.90000000000003,0.0,0.0,0.0,0.0,0.0,15,0.225752508361204,0.3513841180036371,0.19085312225153914,0.6197360569447157,0.26655525381240863,0.39473684210526316,0.23553719008264462,0.2571428571428571,0.3306460479588359,0.29219157147097957,2.1337792642140467,0.1948482801928933
237,00-0033045,E.Elliott,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,244,979.0,6,5.0,4.0,62.0,-27.859516334184722,0,52,71,338.0,2,1.0,1.0,-17.0,360.0,20.0,-18.39992559928214,1,0.0,171.70000000000002,223.70000000000002,0.0,0.0,0.0,0.0,0.0,15,0.11735537190082644,-0.003742844561867019,0.18828451882845187,0.17303878220174604,0.07878787878787878,0.08695652173913043,0.091324200913242,0.09090909090909091,0.08287220026350461,0.08042160737812912,0.5586776859504132,0.15712579897450307
238,00-0033077,D.Prescott,2020,REG,151,222,1856.0,9,4.0,10.0,66.0,3,3,1762.0,810.0,93.0,32.01779507945464,1,0.5513381818277064,18,93.0,3,0.0,0.0,8.0,8.85428566701094,1,1,1,11.0,1,0.0,0.0,10.0,1.0,1.0,2.6684373994357884,0,0.0,134.64000000000001,135.64000000000001,0.0,0.0,0.0,0.0,0.0,5,0.00423728813559322,0.0053475935828877,0.0011862396204033216,0.010634007069699991,0.005561172901921132,0.1,0.01020408163265306,0.018518518518518517,0.05278058645096057,0.02444893832153691,0.046610169491525424,0.21488545990304492
239,00-0033080,S.DeValve,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,35.0,0.0,0.0,-0.5793064474128187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.02,0.08620689655172414,0.0,0.09896551724137932,0.0,,0.0,0.0,,,0.0,0.0
240,00-0033083,D.Thompson,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,3.0,0,0.0,0.0,0.0,-2.5365551894064993,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021818181818181823
241,00-0033085,J.Hawkins,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.082569369871635,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.018867924528301886,0.0,0.0,0.02830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,00-0033090,H.Henry,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,60,93,613.0,4,0.0,0.0,741.0,226.0,35.0,18.157681830244776,0,0.0,85.30000000000001,145.3,0.0,0.0,0.0,0.0,0.0,14,0.16518650088809947,0.17345505617977527,0.11316975463194792,0.3865437962759694,0.15351865765088907,0.14814814814814814,0.17676767676767677,0.17333333333333334,0.1508334028995186,0.15244455575034088,1.088809946714032,0.10460612518178285
